store_id,clinic_name,store_name,Zipcode,adress,access
dio_001,DIO,札幌院,〒060-0004,北海道札幌市中央区北四条西2丁目1-18 邦洋札幌Ｎ4・2ビル 2階,地下鉄さっぽろ駅徒歩1分 JR札幌駅徒歩4分
dio_002,DIO,仙台院,〒980-0021,宮城県仙台市青葉区中央3丁目1-3 aune仙台 4階,仙台駅徒歩3分 あおば通駅徒歩2分
dio_003,DIO,銀座有楽町院,〒100-0006,東京都千代田区有楽町２丁目３−５ AUNE有楽町 ９F,日比谷駅A1出口直結 銀座駅C1出口徒歩2分 有楽町駅銀座口徒歩3分
dio_004,DIO,立川院,〒190-0023,東京都立川市柴崎町2-3-18 粂川第二ビル 4F,立川南駅1番出口から徒歩2分、立川駅南口から徒歩4分
dio_005,DIO,銀座院,〒104-0061,東京都中央区銀座五丁目９番１１号 銀座ファゼンダビル４階,銀座駅A3出口より徒歩2分
dio_006,DIO,上野院,〒110-0015,東京都台東区東上野２丁目１８−６ 常磐ビル 地下1階,各線上野駅より徒歩1分
dio_007,DIO,池袋院,〒170-0013,東京都豊島区東池袋1丁目30−6 セイコーサンシャインビルⅫ 8F,JR池袋駅東口より徒歩5分
dio_008,DIO,新宿院,〒160-0022,東京都新宿区新宿4丁目2-23 新四curumuビル 地下1階,新宿駅南東口より徒歩3分、新宿三丁目駅直通
dio_009,DIO,渋谷院,〒150-0042,東京都渋谷区宇田川町33-1グランド東京渋谷ビル4階,JR渋谷駅ハチ公口より徒歩5分・東京メトロ渋谷駅A2出口より徒歩2分
dio_010,DIO,大宮院,〒330-0802,埼玉県さいたま市大宮区宮町2-28 あじせんビル 5F,大宮駅東口より徒歩5分
dio_011,DIO,横浜院,〒220-0005,"神奈川県横浜市西区南幸2-18-3 LUCID SQUARE Yokohama West2F,3F",JR横浜駅西口より徒歩7分
dio_012,DIO,川崎院,〒210-0007,神奈川県川崎市川崎区駅前本町２６−４ ラウンドクロス川崎 ４Ｆ,JR川崎駅中央東口より徒歩2分
dio_013,DIO,千葉駅前院,〒260-0015,千葉県千葉市中央区富士見2丁目7-4 富士見ハイネスビル 5F,JR千葉駅東口より徒歩5分
dio_014,DIO,名古屋院,〒450-0003,愛知県名古屋市中村区名駅南1丁目16-28EDGE名駅地下1階,各線名古屋駅広小路口 徒歩7分
dio_015,DIO,栄院,〒460-0008,愛知県名古屋市中区栄3-27-1 SAKAE PLACE B1F,矢場町駅徒歩5分 栄駅徒歩9分
dio_016,DIO,京都院,〒600-8021,京都市下京区河原町通四条下ル順風町 305 番地 四条河原町ビル4階,京都河原町駅2番出口から徒歩1分
dio_017,DIO,梅田院,〒530-0014,大阪府大阪市北区鶴野町4番11号 朝日プラザ梅田 1階,大阪梅田駅より徒歩6分 中崎町駅より徒歩6分
dio_018,DIO,神戸三宮院,〒650-0022,兵庫県神戸市中央区元町通1丁目7-1 VEGAビル 5F,元町駅徒歩3分 三宮・神戸三宮駅徒歩11分
dio_019,DIO,天王寺院,〒545-0052,大阪府大阪市阿倍野区阿倍野筋1-5-1 あべのルシアス 15F,天王寺駅14番出口徒歩3分
dio_020,DIO,大阪梅田院,〒530-0057,大阪府大阪市北区曽根崎2-13-17 曽根崎渡辺ビル 3F,大阪駅徒歩7分 東梅田駅徒歩1分
dio_021,DIO,なんば心斎橋院,〒542-0085,大阪府大阪市中央区心斎橋筋 2丁目5-5 Shinsaibashi GATE 8階,なんば駅14番出口から徒歩2分
dio_022,DIO,広島院,〒730-0031,広島県広島市中区紙屋町2-3-20 ソシオスクエア紙屋町ビル 3F,本通駅徒歩2分 紙屋町西駅徒歩4分
dio_023,DIO,福岡天神院,〒810-0001,福岡県福岡市中央区天神二丁目8番22号 Ｇビル天神西通り01 3階,天神駅3番出口徒歩2分
eminal_001,エミナルクリニック,札幌院,〒060-0001,北海道札幌市中央区北1条西3丁目3-11 桂和北1条ビル9階・10階,大通駅7番出口より徒歩5分 または札幌駅前通地下歩行空間9番出口より徒歩1分
eminal_002,エミナルクリニック,旭川院,〒070-0031,北海道旭川市1条通10丁目342-2スペーシア旭川一条通3階,JR旭川駅から徒歩5分
eminal_003,エミナルクリニック,青森院,〒030-0822,青森県青森市中央1丁目25-9AQUA青森中央ビル3階,青森駅 徒歩22分
eminal_004,エミナルクリニック,盛岡院,〒020-0021,岩手県盛岡市中央通1丁目9-11CUBE映画館通りビル2階,JR東北本線 盛岡駅から徒歩13分
eminal_005,エミナルクリニック,仙台院,〒980-0811,宮城県仙台市青葉区一番町3-9-13 DATE ONEビル5階,広瀬通駅徒歩5分
eminal_006,エミナルクリニック,秋田院,郵便番号が見つかりません,秋田県秋田市中通2-4-22Flat秋田1階・2階,JR秋田駅から徒歩5分
eminal_007,エミナルクリニック,郡山院,〒963-8004,福島県郡山市中町7-17 かねいビル1F,JR郡山駅より徒歩5分
eminal_008,エミナルクリニック,水戸院,〒310-0015,茨城県水戸市宮町1丁目7-20ホテルテラスザガーデン水戸1階,JR水戸駅から徒歩すぐ
eminal_009,エミナルクリニック,宇都宮院,〒320-0802,栃木県宇都宮市江野町6-10 天心堂ビル5F,東武宇都宮駅東口徒歩約1分
eminal_010,エミナルクリニック,高崎院,〒370-0828,群馬県高崎市宮元町227高崎ステージビル3階,JR高崎駅から徒歩11分
eminal_011,エミナルクリニック,大宮院,〒330-0845,埼玉県さいたま市大宮区仲町1丁目54-3 ビジョナリーⅢ 5F,JR大宮駅東口より徒歩4分
eminal_012,エミナルクリニック,千葉院,〒260-0015,千葉県千葉市中央区富士見1-14-11 常盤ビル7階,JR千葉駅徒歩5分
eminal_013,エミナルクリニック,船橋院,〒273-0005,千葉県船橋市本町4-2-9 菅野屋船橋ビル3F,東武/JR船橋駅南口より徒歩2分 または京成船橋駅より徒歩5分
eminal_014,エミナルクリニック,新宿西口院,〒160-0023,東京都新宿区西新宿1-4-1 プリンスビル7F,JR新宿駅 徒歩3分
eminal_015,エミナルクリニック,新宿院（施術専門院）,〒160-0022,東京都新宿区新宿3丁目1－16京王新宿追分第二ビル3階,JR「新宿駅」南口徒歩4分
eminal_016,エミナルクリニック,渋谷駅前院,〒150-0043,東京都 渋谷区道玄坂1-3-1 飯島ビル8F,JR渋谷駅ハチ公口から徒歩1分
eminal_017,エミナルクリニック,渋谷院（施術専門院）,〒150-0002,東京都 渋谷区渋谷2丁目22－16 渋谷TRビル5階,JR渋谷駅から徒歩2分
